id_venda;filial;vendedor;produto;cliente_nome;cliente_genero;forma_pagamento
0;São Paulo;Cassia Moraes;Tenis Fila;Albert Wilson;masculino;credito
1;Canoas;Carlos Henrique;Tenis Adidas;Elizabeth Wilbanks;feminino;credito
2;Porto Alegre;Luiza Cherobini;Tenis Fila;Clarence Morris;masculino;credito
3;Caxias do Sul;Mateus Kienzle;Tenis Nike;Royce Deforest;masculino;credito
4;Lajeado;Juliano Faccioni;Tenis NB;Johnnie Gilderman;feminino;boleto
5;São Paulo;Claudio Bueno;Tenis Adidas;Ross Maldonado;masculino;credito
6;Caxias do Sul;Mateus Kienzle;Tenis Adidas;Kathy King;feminino;credito
7;São Paulo;Cassia Moraes;Tenis Fila;Brenda Engle;feminino;credito
8;Canoas;Carlos Henrique;Tenis Nike;Helene Bell;feminino;pix
9;São Paulo;Claudio Bueno;Tenis Nike;Gabriel Brooks;masculino;credito
10;Porto Alegre;Luiza Cherobini;Tenis NB;David Kramer;masculino;credito
11;São Paulo;Claudio Bueno;Tenis Adidas;Vesta Tait;feminino;boleto
12;Lajeado;Adriano Soares;Tenis Fila;Joanne Ricardo;feminino;credito
13;Florianópolis;Claudia dos Santos;Tenis Adidas;Patricia Brown;feminino;credito
14;Canoas;Luis Fernando;Tenis NB;Rachel Cessna;feminino;credito
15;Caxias do Sul;Rodrigo Vanzeloti;Tenis NB;Ellen Dunn;feminino;credito
16;Florianópolis;Mario Sérgio;Tenis Nike;Milagros Yates;feminino;credito
17;São Paulo;Claudio Bueno;Tenis Fila;Irene Coffman;feminino;credito
18;São Paulo;Claudio Bueno;Tenis Adidas;Charlotte Williams;feminino;pix
19;Porto Alegre;Luiza Cherobini;Tenis Adidas;Dara Rosen;feminino;credito
20;São Paulo;Claudio Bueno;Tenis Adidas;Julie West;feminino;pix
21;Florianópolis;Claudia dos Santos;Tenis NB;Greg Arnold;masculino;pix
22;Lajeado;Adriano Soares;Tenis Fila;Juan Pinard;masculino;credito
23;Caxias do Sul;Mateus Kienzle;Tenis Fila;Anita Norsworthy;feminino;boleto
24;Lajeado;Juliano Faccioni;Tenis Fila;Juanita Crosson;feminino;pix
25;Porto Alegre;Luiza Cherobini;Tenis Fila;Christian Call;masculino;credito
26;São Paulo;Claudio Bueno;Tenis Fila;Alecia Burnett;feminino;credito
27;Caxias do Sul;Rodrigo Vanzeloti;Tenis Fila;Jess Stewarts;masculino;boleto
